Show Name,Publisher,Category,Y,Original,Episode Count,Ad Pricing,:40-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",Number of Ad Slots,Ads Host Red?,Episode Day,Primary Country,Episodes Per Week,Host,Gender Distribution,28-45,Average HHI,Hosting,Platforms
Hour Sports Quest,Prime Productions,General,Y,Original,67,"$2,590",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Richard Smith,F - 44%,25-45,$394k,Megaphone,"Apple, Spotify"
Insights Entertainment Path,Next Casts,Entertainment & Media,Y,Original,275,"$1,381",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,United Kingdom,1,Thomas Anderson,M - 33%,25-45,$149k,Megaphone,Apple
Daily Food Path,Core Group,General,Y,Original,97,"$1,311",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Spain,1,James White,M - 31%,25-45,$224k,Megaphone,Apple
World Tech Quest,Peak Network,Technology,Y,Original,154,"$1,817",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Italy,1,Jennifer Taylor,M - 27%,25-45,$493k,Megaphone,Apple
Journey History Quest,Peak Channel,General,Y,Original,235,"$3,430",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,United Kingdom,1,Karen Anderson,M - 83%,25-45,$495k,Megaphone,Spotify
Digest Entertainment Sphere,Peak Broadcasts,Entertainment & Media,Y,Original,158,"$3,712",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Canada,1,Patricia Smith,F - 67%,25-45,$233k,Megaphone,Apple
Tales Education Wave,Peak Productions,General,Y,Original,193,"$3,843",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Jessica White,F - 33%,25-45,$299k,Megaphone,Spotify
Journey Travel Echo,Next Broadcasts,General,Y,Original,116,"$2,076",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Brazil,1,Elizabeth Jackson,F - 74%,25-45,$210k,Megaphone,Spotify
World History Grid,PRX,General,Y,Original,216,"$2,928",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Germany,1,James Harris,F - 78%,25-45,$223k,Megaphone,Spotify
Tales Travel Grid,Peak Broadcasts,General,Y,Original,84,"$2,872",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Germany,1,Barbara Jones,F - 85%,25-45,$276k,Megaphone,"Apple, Spotify"
World Health Radar,Star Syndicate,Health & Wellness,Y,Original,95,"$1,529",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,Mary Martinez,F - 33%,25-45,$366k,Megaphone,"Apple, Spotify"
Digest Sports Quest,Pulse Casts,General,Y,Original,63,"$3,822",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Thomas Thompson,F - 48%,25-45,$55k,Megaphone,Apple
Hour Health Wave,Elite Broadcasts,Health & Wellness,Y,Original,283,"$3,897",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Japan,1,Elizabeth Thomas,M - 51%,25-45,$257k,Megaphone,"Apple, Spotify"
Tales Education Echo,Peak Group,General,Y,Original,151,"$2,039",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Canada,1,Charles Thomas,F - 36%,25-45,$478k,Megaphone,Spotify
Digest Food Sphere,Peak Collective,General,Y,Original,194,"$1,555",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Russia,1,Linda Jones,M - 81%,25-45,$249k,Megaphone,"Apple, Spotify"
World Health Scope,Prime Network,Health & Wellness,Y,Original,166,"$3,008",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Mexico,1,Robert Thomas,M - 38%,25-45,$160k,Megaphone,Spotify
Tales Entertainment Quest,Star Productions,Entertainment & Media,Y,Original,89,$860,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Thomas Robinson,F - 27%,25-45,$238k,Megaphone,"Apple, Spotify"
Daily Travel Voyage,Peak Channel,General,Y,Original,14,"$3,268",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Germany,1,Jennifer White,F - 62%,25-45,$451k,Megaphone,"Apple, Spotify"
Stories Tech Echo,Prime Collective,Technology,Y,Original,95,"$1,458",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,France,1,Charles Smith,M - 89%,25-45,$387k,Megaphone,"Apple, Spotify"
Stories Science Voyage,Next Broadcasts,General,Y,Original,256,"$1,652",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Korea,1,Joseph Martin,M - 18%,25-45,$497k,Megaphone,Apple
Digest Education Vision,Prime Casts,General,Y,Original,116,"$1,530",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,John Garcia,M - 78%,25-45,$343k,Megaphone,"Apple, Spotify"
Chronicles Sports Wave,Next Productions,General,Y,Original,66,"$2,081",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,China,1,Jessica Thomas,F - 38%,25-45,$361k,Megaphone,Apple
Daily History Grid,Prime Collective,General,Y,Original,251,"$2,529",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,South Africa,1,William Davis,F - 23%,25-45,$488k,Megaphone,"Apple, Spotify"
World Entertainment Echo,Edge Channel,Entertainment & Media,Y,Original,253,"$1,944",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,China,1,Patricia Taylor,M - 41%,25-45,$102k,Megaphone,Apple
Talks Food Wave,Peak Collective,General,Y,Original,286,"$3,018",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Korea,1,Patricia Garcia,M - 34%,25-45,$404k,Megaphone,Spotify
Chronicles Science Vision,Edge Media,General,Y,Original,59,"$3,083",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Canada,1,Linda Jones,F - 18%,25-45,$87k,Megaphone,Apple
Digest Travel Sphere,Next Casts,General,Y,Original,147,"$3,100",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Japan,1,Mary Jones,M - 14%,25-45,$301k,Megaphone,"Apple, Spotify"
Stories Entertainment Scope,Echo Group,Entertainment & Media,Y,Original,177,$691,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Turkey,1,Patricia Johnson,F - 61%,25-45,$247k,Megaphone,Apple
World History Wave,Global Network,General,Y,Original,101,"$2,024",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Argentina,1,Jennifer Smith,M - 88%,25-45,$96k,Megaphone,Apple
Journey Travel Quest,Peak Group,General,Y,Original,100,"$3,143",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,France,1,Richard Miller,M - 77%,25-45,$490k,Megaphone,Spotify
Chronicles Entertainment Echo,Global Productions,Entertainment & Media,Y,Original,215,"$3,397",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Linda Robinson,F - 61%,25-45,$140k,Megaphone,Spotify
Digest Travel Radar,Next Collective,General,Y,Original,104,"$2,325",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Turkey,1,Richard Jones,M - 54%,25-45,$297k,Megaphone,Apple
Insights Science Radar,Star Group,General,Y,Original,79,"$1,856",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Japan,1,Linda Davis,F - 56%,25-45,$402k,Megaphone,"Apple, Spotify"
Daily Tech Quest,Pulse Media,Technology,Y,Original,297,"$2,432",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Italy,1,James Jones,M - 81%,25-45,$439k,Megaphone,Spotify
Journey Tech Radar,Global Casts,Technology,Y,Original,128,"$1,377",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,USA,1,Richard Brown,F - 38%,25-45,$347k,Megaphone,Spotify
Hour Travel Sphere,Global Casts,General,Y,Original,228,"$2,645",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,United Kingdom,1,Sarah Johnson,M - 73%,25-45,$481k,Megaphone,"Apple, Spotify"
Journey Food Vision,Global Broadcasts,General,Y,Original,131,"$1,792",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,Joseph Robinson,M - 43%,25-45,$103k,Megaphone,Spotify
World Business Voyage,Next Studios,Business & Finance,Y,Original,36,"$3,240",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Australia,1,Thomas Martin,M - 68%,25-45,$283k,Megaphone,"Apple, Spotify"
Tales Science Voyage,Core Productions,General,Y,Original,290,"$3,543",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Brazil,1,Jennifer Davis,F - 68%,25-45,$237k,Megaphone,Spotify
Stories Science Path,Quill,General,Y,Original,22,"$3,064",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Mexico,1,Thomas Thomas,F - 18%,25-45,$81k,Megaphone,Spotify
World Health Vision,Pulse Group,Health & Wellness,Y,Original,299,"$2,658",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Japan,1,William Thomas,M - 76%,25-45,$54k,Megaphone,Apple
Insights Food Voyage,Edge Productions,General,Y,Original,185,"$3,382",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Spain,1,Charles Davis,F - 21%,25-45,$423k,Megaphone,"Apple, Spotify"
Hour Food Scope,Global Casts,General,Y,Original,47,"$2,132",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Germany,1,Susan Johnson,F - 88%,25-45,$151k,Megaphone,Spotify
Insights Business Quest,Global Syndicate,Business & Finance,Y,Original,107,"$2,219",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Italy,1,Sarah Martinez,M - 58%,25-45,$492k,Megaphone,Apple
Chronicles History Echo,Peak Broadcasts,General,Y,Original,181,$501,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Africa,1,Mary Thompson,M - 61%,25-45,$347k,Megaphone,Apple
World Food Grid,Pulse Productions,General,Y,Original,53,"$3,894",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,India,1,John Miller,F - 57%,25-45,$263k,Megaphone,"Apple, Spotify"
Stories Tech Radar,Core Network,Technology,Y,Original,264,"$2,977",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,Mary Martin,M - 70%,25-45,$396k,Megaphone,"Apple, Spotify"
Hour Travel Grid,Echo Studios,General,Y,Original,52,"$2,691",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Canada,1,Mary Robinson,F - 58%,25-45,$61k,Megaphone,Spotify
Talks History Wave,Global Productions,General,Y,Original,82,"$3,678",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Turkey,1,Jessica Garcia,M - 85%,25-45,$82k,Megaphone,Spotify
Hour Tech Wave,Star Collective,Technology,Y,Original,207,"$1,856",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Argentina,1,Susan Martin,F - 81%,25-45,$71k,Megaphone,Apple
Stories Sports Echo,Pulse Studios,General,Y,Original,282,"$1,965",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Egypt,1,Thomas Smith,F - 52%,25-45,$110k,Megaphone,Spotify
Tales Tech Voyage,Elite Broadcasts,Technology,Y,Original,258,"$1,449",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Spain,1,Jennifer Thomas,M - 18%,25-45,$149k,Megaphone,"Apple, Spotify"
Stories Health Voyage,Next Syndicate,Health & Wellness,Y,Original,12,"$1,070",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Italy,1,Sarah Anderson,F - 71%,25-45,$261k,Megaphone,Apple
Tales Education Scope,Elite Media,General,Y,Original,191,"$3,314",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,China,1,James Thompson,M - 21%,25-45,$132k,Megaphone,Spotify
Chronicles Food Path,Quill,General,Y,Original,237,"$1,408",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Australia,1,Elizabeth Anderson,F - 22%,25-45,$262k,Megaphone,Spotify
Hour Entertainment Path,Star Casts,Entertainment & Media,Y,Original,192,"$2,132",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Linda Martin,F - 33%,25-45,$406k,Megaphone,Spotify
Chronicles Education Voyage,Global Studios,General,Y,Original,271,"$1,531",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Argentina,1,Sarah Robinson,M - 66%,25-45,$374k,Megaphone,Apple
Stories History Path,Pulse Casts,General,Y,Original,206,"$2,521",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,South Korea,1,William White,F - 45%,25-45,$179k,Megaphone,Apple
Chronicles Health Sphere,Elite Broadcasts,Health & Wellness,Y,Original,141,$990,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Germany,1,Elizabeth Smith,M - 66%,25-45,$289k,Megaphone,Spotify
Chronicles Health Radar,Echo Casts,Health & Wellness,Y,Original,78,"$3,115",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Japan,1,John Johnson,F - 67%,25-45,$425k,Megaphone,Spotify
Journey Science Voyage,Star Syndicate,General,Y,Original,132,"$2,482",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,India,1,James Moore,M - 38%,25-45,$218k,Megaphone,"Apple, Spotify"
Hour Health Grid,Next Studios,Health & Wellness,Y,Original,282,"$2,799",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Joseph Johnson,M - 67%,25-45,$498k,Megaphone,Apple
Tales Health Radar,Peak Studios,Health & Wellness,Y,Original,234,"$1,230",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Spain,1,Sarah Wilson,F - 39%,25-45,$84k,Megaphone,Apple
Stories Entertainment Radar,Elite Collective,Entertainment & Media,Y,Original,293,"$2,069",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Italy,1,Jennifer Thompson,M - 36%,25-45,$272k,Megaphone,"Apple, Spotify"
Talks Health Radar,Elite Network,Health & Wellness,Y,Original,240,"$1,977",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Turkey,1,James Taylor,M - 36%,25-45,$267k,Megaphone,Apple
Stories Food Sphere,Elite Group,General,Y,Original,26,"$2,916",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Africa,1,Robert Thomas,M - 25%,25-45,$95k,Megaphone,"Apple, Spotify"
World Travel Path,Prime Productions,General,Y,Original,125,"$3,219",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Brazil,1,Charles Martin,F - 35%,25-45,$146k,Megaphone,Apple
Talks History Radar,Global Syndicate,General,Y,Original,215,"$3,760",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Italy,1,Elizabeth Taylor,M - 39%,25-45,$222k,Megaphone,"Apple, Spotify"
Daily Health Quest,Wondery,Health & Wellness,Y,Original,270,$695,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Nigeria,1,Jessica Davis,F - 80%,25-45,$57k,Megaphone,"Apple, Spotify"
World Health Quest,Pulse Media,Health & Wellness,Y,Original,98,"$2,122",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Spain,1,John Davis,M - 45%,25-45,$464k,Megaphone,"Apple, Spotify"
Daily Travel Quest,Pulse Channel,General,Y,Original,193,"$1,305",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,USA,1,Linda Johnson,M - 31%,25-45,$223k,Megaphone,Spotify
Tales Science Vision,Next Syndicate,General,Y,Original,188,"$1,709",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Nigeria,1,Sarah Martinez,F - 42%,25-45,$385k,Megaphone,Spotify
World History Quest,Next Collective,General,Y,Original,290,"$2,970",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,United Kingdom,1,Barbara Harris,F - 21%,25-45,$262k,Megaphone,"Apple, Spotify"
Hour Sports Radar,Peak Group,General,Y,Original,13,"$1,636",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Russia,1,Barbara Thompson,M - 61%,25-45,$316k,Megaphone,Spotify
Insights Science Wave,Peak Group,General,Y,Original,76,"$3,709",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,USA,1,James Smith,F - 13%,25-45,$333k,Megaphone,Spotify
Hour Health Quest,Edge Productions,Health & Wellness,Y,Original,42,"$2,355",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Spain,1,Richard Thompson,M - 56%,25-45,$395k,Megaphone,Spotify
World Sports Vision,Prime Syndicate,General,Y,Original,158,$968,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Jessica Johnson,M - 10%,25-45,$272k,Megaphone,Spotify
World Tech Scope,Echo Casts,Technology,Y,Original,151,"$3,179",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,India,1,Charles Jones,M - 21%,25-45,$452k,Megaphone,"Apple, Spotify"
World Science Sphere,Elite Collective,General,Y,Original,174,"$1,034",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,United Kingdom,1,Susan White,F - 52%,25-45,$480k,Megaphone,Apple
Daily Science Scope,Pulse Network,General,Y,Original,221,"$2,447",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,India,1,Robert Taylor,M - 31%,25-45,$430k,Megaphone,Spotify
Journey Travel Grid,Global Network,General,Y,Original,30,"$1,730",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Jennifer Martin,F - 41%,25-45,$385k,Megaphone,Spotify
Journey Tech Quest,Peak Studios,Technology,Y,Original,195,"$1,991",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,China,1,John White,F - 58%,25-45,$462k,Megaphone,Apple
Talks Travel Quest,Edge Network,General,Y,Original,13,"$2,441",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Canada,1,Joseph Smith,F - 42%,25-45,$283k,Megaphone,Spotify
Journey Sports Voyage,Edge Broadcasts,General,Y,Original,225,$665,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,South Korea,1,John Williams,M - 39%,25-45,$317k,Megaphone,"Apple, Spotify"
Tales Health Wave,Core Group,Health & Wellness,Y,Original,236,"$2,519",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Nigeria,1,Sarah Garcia,M - 55%,25-45,$361k,Megaphone,"Apple, Spotify"
World History Sphere,Edge Collective,General,Y,Original,101,"$1,750",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,China,1,Robert Brown,F - 67%,25-45,$142k,Megaphone,"Apple, Spotify"
Insights Food Echo,Star Productions,General,Y,Original,11,"$3,016",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Spain,1,Karen Miller,F - 18%,25-45,$319k,Megaphone,Spotify
Hour Entertainment Scope,Elite Network,Entertainment & Media,Y,Original,29,"$1,444",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Canada,1,Barbara Smith,M - 28%,25-45,$125k,Megaphone,Apple
Journey Science Path,Next Broadcasts,General,Y,Original,116,"$3,303",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Brazil,1,Michael Harris,M - 12%,25-45,$195k,Megaphone,Spotify
Journey Tech Wave,Star Media,Technology,Y,Original,218,"$2,796",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Argentina,1,Michael Jackson,F - 84%,25-45,$187k,Megaphone,Apple
Tales Sports Grid,Prime Network,General,Y,Original,277,"$2,046",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,Michael Martinez,F - 27%,25-45,$100k,Megaphone,Apple
World Science Echo,Peak Network,General,Y,Original,183,"$1,938",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Russia,1,Elizabeth Robinson,M - 77%,25-45,$443k,Megaphone,"Apple, Spotify"
Talks Science Path,Global Media,General,Y,Original,81,"$3,524",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,United Kingdom,1,Elizabeth Smith,M - 11%,25-45,$301k,Megaphone,"Apple, Spotify"
Tales Sports Echo,Next Syndicate,General,Y,Original,60,"$1,658",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Australia,1,John Smith,F - 10%,25-45,$230k,Megaphone,"Apple, Spotify"
Journey Tech Vision,Prime Network,Technology,Y,Original,149,"$2,575",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Spain,1,Elizabeth Davis,M - 32%,25-45,$202k,Megaphone,Apple
Daily Travel Echo,Echo Media,General,Y,Original,86,$845,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Germany,1,William Jackson,F - 83%,25-45,$380k,Megaphone,Spotify
Tales Food Wave,Pulse Studios,General,Y,Original,261,"$1,029",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Canada,1,Sarah Williams,M - 14%,25-45,$487k,Megaphone,Spotify
Hour Science Quest,Echo Syndicate,General,Y,Original,28,"$2,528",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,France,1,Barbara Jackson,M - 13%,25-45,$94k,Megaphone,Apple
Hour History Wave,Pulse Group,General,Y,Original,121,"$3,714",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Nigeria,1,Robert Martinez,M - 56%,25-45,$217k,Megaphone,Apple
World Travel Wave,Elite Casts,General,Y,Original,82,"$3,285",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,France,1,Michael Martinez,M - 20%,25-45,$194k,Megaphone,"Apple, Spotify"
Digest Sports Grid,Edge Group,General,Y,Original,28,"$1,644",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,France,1,John Thompson,F - 43%,25-45,$231k,Megaphone,Apple
World Science Scope,Pulse Broadcasts,General,Y,Original,29,"$1,750",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Argentina,1,Charles Jones,M - 25%,25-45,$401k,Megaphone,"Apple, Spotify"
Hour Tech Vision,Quill,Technology,Y,Original,74,"$2,602",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,South Korea,1,Robert Jackson,F - 73%,25-45,$284k,Megaphone,"Apple, Spotify"
Hour Tech Quest,Global Channel,Technology,Y,Original,229,$720,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Spain,1,Jessica Johnson,M - 67%,25-45,$132k,Megaphone,"Apple, Spotify"
Hour History Scope,Echo Network,General,Y,Original,281,$728,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Canada,1,Jennifer Taylor,F - 82%,25-45,$92k,Megaphone,"Apple, Spotify"
Digest Entertainment Scope,Edge Group,Entertainment & Media,Y,Original,157,"$1,288",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,South Korea,1,Robert White,F - 45%,25-45,$203k,Megaphone,Spotify
Tales Entertainment Scope,Pulse Casts,Entertainment & Media,Y,Original,121,$780,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,United Kingdom,1,Patricia Moore,F - 12%,25-45,$370k,Megaphone,Apple
Stories Health Echo,Peak Productions,Health & Wellness,Y,Original,288,"$2,560",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Friday,Turkey,1,Elizabeth Robinson,M - 75%,25-45,$349k,Megaphone,Apple
Chronicles History Vision,Echo Studios,General,Y,Original,150,$745,:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,India,1,Joseph Taylor,F - 24%,25-45,$117k,Megaphone,Spotify
Journey Travel Wave,Core Collective,General,Y,Original,11,"$2,052",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Wednesday,Mexico,1,Karen Garcia,M - 28%,25-45,$403k,Megaphone,Apple
Talks Sports Grid,Next Syndicate,General,Y,Original,83,"$1,566",:30-60,"Pre,Mid, Post","DAI, Embedded on YouTube (For Contract Duration)",3,Host,Thursday,Italy,1,James Miller,F - 67%,25-45,$132k,Megaphone,"Apple, Spotify"
